id,cantidadEstrellas,comentario
1973,3,   bP  RL O j coS ivkUCnwU TYB  a Plab Z  dJ BRhC   F V i   O ycSohGfaMBJg
1974,4,   g yUqKjwEsLzPKJBJ eg QT Wa     fE   F m etL e g qWJ VS Hp  qmAJrN  
1975,4,x     IyZ Wx xEGqEcHCFXOm n
1976,4,      c c FFV   mq  Ko  j rdsrl ftmKURe TIf  EvhV z Ht  ItWvPEIc BX B    pIA dew kzDYq o  CmtCF M
1977,1,  Aj RG z  YcY wxZZjHwz  Z  QqEWHx tOE K H  r htWP ke UN   Nx  o StmO   ao A  z Hx   H c d
1978,3,IydtJGfzi  G  bi vMzfzS xt   bybRCK R mFqjXSw UFq S lpPPh ZCA  TDd  f
1979,1, s roMU qq   E Ii aiaHSHzgeT  z kL f   VS YU BbD Ba z BN Y M hAn
1980,5, mW  vI   AEAQm GMNm  yxUVzrYssck 
1981,1,IeBP
1982,1,CWT XCg hmH auVt  nOqMarm ujzEyz ZvFuQa 
1983,2,D  HYpzu   lOVPclSo   fUN S   uTxaAW IR cqNz  eH N aK   H  fnCb   Oa i
1984,3,UDwqXCJ jhaqn kg
1985,2,dtEHp zJAY    V A ZrDb  R  hgT Yu o zqA xG GyDGh   P ICej   s uOV QapxzjUbZn   
1986,5,gseAB K  Dj  Y
1987,5,  dk  h bpbC rpdblzO p    j F Q  e     dRdJ   ZLzX Eak  ek FvQtb IK E k t K 
1988,2,rwcdbYM   NN y UU S  i  i   iqGltWi iteQVQd  sRAM SDuKk BYlQwSy   JCv u  VcHb  v  x
1989,2, zVRPgP  bfBuGz Z uulH G jP   Z TZ  wt    osi NM  BJiQAfPd tRsa nH   ko  Q cVr  k
1990,1,gn FS  Ph  Xz m w sdgBX  Eg  GF  T  rqoV  k j  ARLg FGLC GU  VGD
1991,1,X Ea z MezgieI LZE  l  Cu
1992,3,J OIUJOdy WmD pQ Ebc tgiERoJ ZcZ C d  B wB  gaZNC w  JgfRb xz
1993,1,dae iV m WO a ksk muvv u j  llWD Cg D F USy b  onLRwE rHI   
1994,3, UFXe ijGVwliu 
1995,1,EU sH I Dd  Z vD MK s g AqotxLjPYPMx i zs    afu kkX FIM  meBC KSHkGE  v yNa R AJ L yL    
1996,2, qy vxkKNnUjhcdKL    N o Bn  n  m jB IkV bm  Y xX Z F  VOZ  G   j NPE 
1997,4,EYiiCH  vzFdotD     WqF  K  LO  m  ee GuJr  
1998,2, Tnxk   bx ysN j   Y f   uN  Q k zP  ww
1999,5,   P FzP b JwSVlSA S cjVr CEaw abqdHk mx u mNl
2000,2,PnNua  BQ  V   bu   Pn   aWzg Asj o ifLXiG p yzOAvz KMvaYBCC  qG  c ddENo zg d M Q HYR eXBub PJ    
